chr	start	end	omim_id
chr1	10093015	10241297	613565
chr1	10270627	10441661	605995
chr1	10459120	10480568	172200
chr1	10490489	10502865	609130
chr1	10510087	10512055	602784
chr1	10516578	10532586	601882
chr1	10535006	10690815	601791
chr1	10696660	10856703	609895
chr1	11006531	11042133	619700
chr1	11072710	11085549	605078
chr1	11086579	11107296	605102
chr1	11114645	11120075	182891
chr1	11126674	11159926	605960
chr1	11166591	11322608	601231
chr1	11249411	11256038	618517
chr1	11333254	11359631	611632
chr1	11539211	11597608	611251
chr1	11708443	11714486	607112
chr1	11714463	11723384	609111
chr1	11724256	11734411	605647
chr1	11734536	11751616	604094
chr1	11751766	11785914	612682
chr1	11796192	11810826	608729
chr1	11845779	11866021	607093
chr1	11866247	11903187	602726
chr1	11905765	11907840	108780
chr1	11917520	11919002	600295
chr1	11968210	11968329	620362
chr1	11994773	12035594	153454
chr1	12040500	12073565	608507
chr1	12079554	12092102	608772
chr1	12123359	12204264	153243
chr1	12227047	12269277	191191
chr1	12290086	12572099	608877
chr1	12627938	12678216	612830
chr1	13801440	13840498	615212
chr1	13910251	13944452	608863
chr1	14026682	14151574	601196
chr1	14925180	15444539	618301
chr1	15573718	15724824	620889
chr1	15736383	15756835	616450
chr1	15764938	15775737	601405
chr1	15783226	15798586	609443
chr1	15802598	15817890	609444
chr1	15817895	15851285	602234
chr1	15853342	15898228	619973
chr1	15898193	15911546	617887
chr1	15943952	15995539	620871
chr1	15986207	15988528	601966
chr1	16010814	16061264	609613
chr1	16062752	16067887	610817
chr1	16083132	16113084	607747
chr1	16174201	16266951	613484
chr1	16268363	16302596	604084
chr1	16330730	16335302	619448
chr1	16340523	16346089	610692
chr1	16348530	16360545	602024
chr1	16370276	16383803	602023
chr1	16450831	16482564	176946
chr1	16524348	16539147	612496
chr1	16558186	16563678	620487
chr1	16573334	16678975	609109
chr1	16693736	16724640	620682
chr1	16767218	16786573	611624
chr1	16888917	16940059	610501
chr1	17067010	17067174	180680
chr1	17248425	17299459	615776
chr1	17300996	17308078	156790
chr1	17312452	17338423	610513
chr1	17345216	17380527	185470
chr1	17393255	17445946	607935
chr1	17531622	17572502	607934
chr1	17575592	17610728	606755
chr1	17634691	17690499	605347
chr1	17698690	17728195	610363
chr1	17733255	17766173	609587
chr1	17866192	18024364	612494
chr1	18081827	18153558	621132
chr1	18957339	19075360	167410
chr1	19166092	19186154	606226
chr1	19197923	19229049	606811
chr1	19401003	19536760	609890
chr1	19542153	19578018	616846
chr1	19578298	19586622	620476
chr1	19592475	19600616	608478
chr1	19609066	19615264	608477
chr1	19629201	19638640	603418
chr1	19638819	19658922	614760
chr1	19665268	19812033	601572
chr1	19923472	19956314	616574
chr1	19969722	19984945	600613
chr1	19991367	20007459	601109
chr1	20140521	20141776	617163
chr1	20208887	20239438	611758
chr1	20246501	20250110	618320
chr1	20301927	20306927	172411
chr1	20396686	20418404	601192
chr1	20438431	20446029	605630
chr1	20465815	20476874	616793
chr1	20512588	20522543	616783
chr1	20808883	20812703	614986
chr1	20825940	20834644	612037
chr1	20915589	20945396	123920
chr1	20959950	20978004	608309
chr1	20978269	20987862	602202
chr1	20990506	21044500	605037
chr1	21066758	21113800	616072
chr1	21132784	21503390	603929
chr1	21543742	21671997	600423
chr1	21766629	21811393	612992
chr1	21835476	21904903	171760
chr1	21922713	21995850	600278
chr1	22004790	22109642	617445
chr1	22148736	22263803	142461
chr1	22303514	22315847	618694
chr1	22328149	22339035	618693
chr1	22379201	22427853	116952
chr1	22443805	22469590	603490
chr1	22778343	22857647	612106
chr1	22889981	22930088	176945
chr1	22962955	22966171	120550
chr1	22970125	22974601	120575
chr1	22979728	22988130	120570
chr1	23037330	23247993	600997
chr1	23345960	23410182	609132
chr1	23410134	23504182	601422
chr1	23518387	23543995	182133
chr1	23631180	23670777	607201
chr1	23685940	23696329	611703
chr1	23707401	23751241	604128
chr1	23755055	23810672	616594
chr1	23832929	23857725	600426
chr1	23884416	23885992	600277
chr1	23953823	23967058	607305
chr1	24018295	24023325	604175
chr1	24069960	24088549	600786
chr1	24104907	24114722	618784
chr1	24117634	24122029	616143
chr1	24122088	24127244	606953
chr1	24128374	24151919	613898
chr1	24171566	24194780	612280
chr1	24197004	24239852	605051
chr1	24286317	24289952	611882
chr1	24290836	24306817	605221
chr1	24382530	24438625	616832
chr1	24446260	24469630	605457
chr1	24480657	24513779	607404
chr1	24645846	24690972	608317
chr1	24683488	24741534	615826
chr1	24740013	24799466	620034
chr1	24828833	24867530	605860
chr1	24969792	24999772	605975
chr1	25071937	25170812	606536
chr1	25226001	25291501	600210
chr1	25548766	25558993	607090
chr1	25568739	25664745	620030
chr1	25598976	25656936	111680
chr1	25664824	25688852	605348
chr1	25688739	25747426	111700
chr1	25757387	25826700	610301
chr1	25870096	25895377	605747
chr1	25943281	26110941	616772
chr1	26126683	26144712	606210
chr1	26146444	26159429	620765
chr1	26158396	26185948	620397
chr1	26187974	26202199	607779
chr1	26210669	26232910	151442
chr1	26286257	26324554	602344
chr1	26348265	26362955	601738
chr1	26363742	26372609	609617
chr1	26377791	26394121	606131
chr1	26437652	26452046	610785
chr1	26485569	26490453	621327
chr1	26496398	26497364	616698
chr1	26503981	26516375	603272
chr1	26517092	26529455	609121
chr1	26560690	26605299	618898
chr1	26606576	26608013	615679
chr1	26608772	26644846	609151
chr1	26644448	26647014	114280
chr1	26648355	26680621	619765
chr1	26688124	26699285	616775
chr1	26737307	26756219	611043
chr1	26758811	26797797	608172
chr1	26798930	26803133	163910
chr1	26856251	26901516	601684
chr1	27022505	27108595	603024
chr1	27113544	27127150	610274
chr1	27153178	27184095	620963
chr1	27189639	27190947	601290
chr1	27216978	27226958	617486
chr1	27237979	27240466	604630
chr1	27248233	27273362	610325
chr1	27276052	27286959	616758
chr1	27320182	27327377	616824
chr1	27331510	27339341	619069
chr1	27425299	27481616	107310
chr1	27560951	27635127	619763
chr1	27648653	27662891	619469
chr1	27668512	27680423	608042
chr1	27681674	27693452	604468
chr1	27695600	27701315	604973
chr1	27719125	27722318	600241
chr1	27730733	27816678	605875
chr1	27860755	27930655	615790
chr1	27938574	27961696	164940
chr1	27992574	27998703	147572
chr1	28099729	28150954	606892
chr1	28157292	28178187	602636
chr1	28160911	28161077	620811
chr1	28199054	28213186	617856
chr1	28218034	28241308	179836
chr1	28261510	28285663	617737
chr1	28286483	28294604	619940
chr1	28296854	28415121	601655
chr1	28473676	28520367	173393
chr1	28562634	28564611	614981
chr1	28586028	28609002	607767
chr1	28655550	28662476	612384
chr1	28696250	28826876	608726
chr1	28832454	28837404	603238
chr1	28832554	28865501	179710
chr1	28833876	28834083	180645
chr1	28835069	28835274	603239
chr1	28879596	28905057	619597
chr1	28905049	28909495	621451
chr1	28929361	28969579	600773
chr1	28995295	29045865	604409
chr1	29063135	29096287	610640
chr1	29138681	29197779	165195
chr1	29213611	29446553	130500
chr1	29474254	29508412	601940
chr1	29519168	29557446	608205
chr1	29563033	29653312	602454
chr1	31184123	31196432	115437
chr1	31205315	31230621	601476
chr1	31342312	31381605	186357
chr1	31404352	31538564	607204
chr1	31652591	31712734	612871
chr1	31732414	31769635	607797
chr1	31769878	31837783	619744
chr1	31838099	31845923	134651
chr1	31882623	31907525	614549
chr1	32042115	32053287	616064
chr1	32083289	32093214	602392
chr1	32095466	32110477	610033
chr1	32117863	32169618	120326
chr1	32192717	32229941	602683
chr1	32256022	32281623	619038
chr1	32372021	32403969	601584
chr1	32479468	32526451	602489
chr1	32573656	32642164	610563
chr1	32645275	32663886	608676
chr1	32666195	32670988	610162
chr1	32680077	32687954	620289
chr1	32688007	32701771	603911
chr1	32716865	32751766	153390
chr1	32757683	32799227	601241
chr1	32799439	32801834	602940
chr1	32828139	32829913	607660
chr1	32830233	32860042	617518
chr1	33005027	33071542	618742
chr1	33086420	33116533	615891
chr1	33116808	33151812	602923
chr1	33145506	33168371	611750
chr1	33240839	33282959	603623
chr1	33283042	33324476	611889
chr1	33327868	33338085	611906
chr1	33352091	33360247	142622
chr1	33402049	33430410	610872
chr1	33473540	33502484	103020
chr1	33546753	33589093	608353
chr1	33610999	33647644	616755
chr1	33772366	33786699	619850
chr1	33789226	33896696	602979
chr1	33938245	33967243	611315
chr1	33979597	34631443	608398
chr1	34326075	34330392	617285
chr1	35220647	35224113	604493
chr1	35225340	35227928	605425
chr1	35246814	35251965	603324
chr1	35258599	35261348	121012
chr1	35331036	35395251	611413
chr1	35451765	35497546	613567
chr1	35641980	35658746	605199
chr1	35734309	35887659	613568
chr1	35899092	36023004	613535
chr1	36023399	36032380	608458
chr1	36038914	36060929	614428
chr1	36065141	36107127	602175
chr1	36185813	36235579	605434
chr1	36273236	36323491	607356
chr1	36335361	36396133	606228
chr1	36396705	36538101	607355
chr1	36549694	36553876	608953
chr1	36554492	36559533	610624
chr1	36560839	36590823	120252
chr1	36602172	36621654	610955
chr1	36621760	36646450	621363
chr1	36690043	36770958	603809
chr1	36771968	36786948	621437
chr1	36805228	36851525	609437
chr1	36859036	36863509	617909
chr1	36883506	36916052	608854
chr1	36921318	36929985	611979
chr1	36931643	36948915	138971
chr1	37261127	37500116	138243
chr1	37940180	37949978	610562
chr1	37955593	37980367	611001
chr1	38000049	38019894	608241
chr1	38022540	38032458	602135
chr1	38032416	38061538	609365
chr1	38076950	38100564	609595
chr1	38147241	38157914	614799
chr1	38158187	38175391	609977
chr1	38181647	38230792	611123
chr1	38259518	38266805	620919
chr1	38268616	38273880	612276
chr1	38275245	38325264	600172
chr1	38326368	38412729	147264
chr1	38422646	38455694	605596
chr1	38462441	38471186	602790
chr1	38478405	38490492	609440
chr1	38509500	38512465	602479
chr1	39303869	39325444	608267
chr1	39328161	39339050	606535
chr1	39339740	39347259	611923
chr1	39351478	39407502	608962
chr1	39456947	39471731	615164
chr1	39492021	39500287	603847
chr1	39549838	39952810	608271
chr1	39957307	39995541	620847
chr1	40026487	40042462	603407
chr1	40089106	40105315	609034
chr1	40116900	40137779	610525
chr1	40144319	40157105	619211
chr1	40204553	40229586	602435
chr1	40222853	40254537	602284
chr1	40235194	40237020	610289
chr1	40303781	40349176	617840
chr1	40361099	40367589	164850
chr1	40420816	40435628	614397
chr1	40505911	40538320	617801
chr1	40537132	40562924	600722
chr1	40627058	40706593	180610
chr1	40723907	40759852	606480
chr1	40766160	40782958	120260
chr1	40839398	40888994	616916
chr1	40942961	40962015	617939
chr1	40974438	40981710	618601
chr1	41086351	41131354	611600
chr1	41157375	41237275	605344
chr1	41220026	41220118	619105
chr1	41222955	41223044	615151
chr1	41249458	41306124	603537
chr1	41326725	41328035	606815
chr1	41445367	41478237	123860
chr1	41492873	41707978	616396
chr1	41827105	41849262	611457
chr1	41944445	41950354	131241
chr1	41972035	42384593	606649
chr1	42619080	42621491	601271
chr1	42628360	42630416	139392
chr1	42642218	42801551	616035
chr1	42846462	42889903	618949
chr1	42922213	42939088	609853
chr1	43124093	43142429	606095
chr1	43148088	43169476	154030
chr1	43198763	43205907	610036
chr1	43212044	43232699	610339
chr1	43272722	43283068	617853
chr1	43282792	43310662	609017
chr1	43391023	43424539	138140
chr1	43613574	43622067	621114
chr1	43629844	43638241	614443
chr1	43638000	43720029	614259
chr1	43747547	43751252	620582
chr1	43766652	43788779	600222
chr1	43803488	43820137	159530
chr1	43824651	43828874	603618
chr1	43829071	43833682	611813
chr1	43849587	43855471	607956
chr1	43855569	43919918	615463
chr1	43916659	43919602	619128
chr1	43991707	44089337	179590
chr1	44115819	44171189	609764
chr1	44173206	44396831	606494
chr1	44399472	44402912	603886
chr1	44412621	44433694	610411
chr1	44435681	44439041	603456
chr1	44440631	44443967	603717
chr1	44444881	44456840	604013
chr1	44462154	44497134	601019
chr1	44584492	44600812	609602
chr1	44603492	44607303	621009
chr1	44679142	44686345	605077
chr1	44686741	44820951	609917
chr1	44870831	45117396	616136
chr1	45118918	45140153	619722
chr1	45187457	45187573	620363
chr1	45196740	45196840	620361
chr1	45205508	45233439	604538
chr1	45241211	45244451	600357
chr1	45249256	45253842	607336
chr1	45266048	45271662	602913
chr1	45271564	45273023	611713
chr1	45285516	45308925	603673
chr1	45316193	45452267	606273
chr1	45468219	45476996	618638
chr1	45477925	45481247	613521
chr1	45482070	45672277	620132
chr1	45792566	45794382	618994
chr1	45794913	45806112	604933
chr1	45805841	45809645	613931
chr1	45809554	45956835	604746
chr1	45965971	45979054	609831
chr1	45976722	45988562	176763
chr1	46016497	46035721	103830
chr1	46049712	46084565	603185
chr1	46159995	46216325	147485
chr1	46269283	46501794	612257
chr1	46505811	46640573	606076
chr1	46640758	46651634	613170
chr1	46654354	46685977	606822
chr1	46669005	46686928	616129
chr1	46713359	46744145	603615
chr1	46743133	46769288	618753
chr1	46769369	46782448	613844
chr1	46806478	46850871	615394
chr1	46859988	46879517	602935
chr1	46899498	46911374	618375
chr1	46955507	46981888	607410
chr1	47011312	47017319	611455
chr1	47023078	47069940	606724
chr1	47073390	47082483	620804
chr1	47098408	47134229	608917
chr1	47137525	47139266	621126
chr1	47140830	47184786	619559
chr1	47264717	47285085	124075
chr1	47394859	47407148	601310
chr1	47427035	47516423	614999
chr1	47532902	47583990	618953
chr1	47603112	47615399	615341
chr1	47649253	47655708	607178
chr1	47681961	47698007	187040
chr1	47715810	47780568	181590
chr1	47799461	47844511	191710
chr1	47881956	47883724	601094
chr1	47903715	47906363	602211
chr1	48226199	48463057	614913
chr1	48688387	48714310	620216
chr1	48761044	48937876	613947
chr1	48998525	50489626	616476
chr1	49193190	49242563	621198
chr1	50513726	50669444	168360
chr1	50883221	50889115	614804
chr1	50902699	51425939	604460
chr1	51426416	51440306	603369
chr1	51567899	51613758	621135
chr1	51701944	51739119	612598
chr1	51752929	51810788	619885
chr1	51819934	51984938	600051
chr1	51983943	52254070	606737
chr1	52254881	52344399	602651
chr1	52373627	52456372	179510
chr1	52485802	52520863	609448
chr1	52607760	52812306	603755
chr1	52838500	52870095	601902
chr1	52870273	52886508	617031
chr1	52888946	53018764	613692
chr1	53068042	53074723	615784
chr1	53098839	53135355	620218
chr1	53150120	53164019	615623
chr1	53192124	53293008	618673
chr1	53308431	53360670	618675
chr1	53361581	53387446	620724
chr1	53392947	53517370	184755
chr1	53527884	53551166	608661
chr1	53552854	53608310	604471
chr1	53662495	53679869	600650
chr1	53692571	53704190	602603
chr1	53708035	53793742	602600
chr1	53925071	53933161	614805
chr1	53971911	54204837	610378
chr1	54231150	54303969	610115
chr1	54317405	54355470	617521
chr1	54359859	54376759	147892
chr1	54382245	54411372	620841
chr1	54412022	54433841	620896
chr1	54492353	54519246	617084
chr1	54598359	54618673	612320
chr1	54665839	54691162	611843
chr1	54691104	54879163	607390
chr1	55013900	55104865	606803
chr1	55181533	55208330	606753
chr1	55222570	55230196	612036
chr1	55271735	55307925	616446
chr1	55315299	55352868	606418
chr1	55464605	55482845	606412
chr1	55505220	55530525	607786
chr1	55532031	55681037	610569
chr1	56960432	57045236	607125
chr1	57110986	57181008	600497
chr1	57184461	57285077	618478
chr1	57320469	57383896	120950
chr1	57394879	57431688	120960
chr1	57460450	59012398	603448
chr1	58946390	59012398	617081
chr1	59041104	59042924	137290
chr1	59120414	59165734	612176
chr1	59246462	59249719	165160
chr1	59762484	60228399	611370
chr1	60280620	60341994	607820
chr1	60358979	60392445	601258
chr1	60456065	60539442	618860
chr1	61542898	61928460	600727
chr1	62146717	62190813	610080
chr1	62208151	62629587	603199
chr1	62660520	62678000	621222
chr1	62701836	62785105	614612
chr1	62902065	62917475	603478
chr1	62920396	63154057	615730
chr1	63063190	63071984	604774
chr1	63249802	63331187	611339
chr1	63788237	63790799	611539
chr1	63833297	63904224	604566
chr1	63906440	63988896	605494
chr1	63989195	64038364	617632
chr1	64059081	64125916	171900
chr1	64239687	64647181	602336
chr1	64935811	65158736	620144
chr1	65210757	65298915	609953
chr1	65298911	65533429	147795
chr1	65524116	65524191	612511
chr1	65613234	65697828	103030
chr1	65730431	65881554	608375
chr1	65886350	66107242	601007
chr1	65886350	65901690	613461
chr1	66258192	66840257	600127
chr1	66999043	67216822	611540
chr1	67218141	67244730	619994
chr1	67263422	67266959	606413
chr1	67278567	67390539	619156
chr1	67390672	67454302	616848
chr1	67465032	67519831	610804
chr1	67632136	67725662	607562
chr1	67773555	67864407	601642
chr1	67873492	67896085	607378
chr1	68150883	68154017	126335
chr1	68167157	68299150	615405
chr1	68297970	68668670	615406
chr1	68511644	68516310	605193
chr1	68564141	68698206	611514
chr1	68894504	68915637	180069
chr1	68939834	68962765	612002
chr1	70033604	70610047	614453
chr1	70385004	70386000	602051
chr1	70671378	70718735	602010
chr1	70724681	70820405	615125
chr1	70820493	70833706	604372
chr1	70876950	70905534	607657
chr1	71318040	71513499	176806
chr1	71528973	71546718	604347
chr1	71861625	72748222	613173
chr1	74491698	74663860	617957
chr1	74663925	74674386	603609
chr1	74701070	75010112	613932
chr1	75033806	75139476	620866
chr1	75171169	75198734	123691
chr1	75198835	75232361	611245
chr1	75594118	75627218	604425
chr1	75671402	76081848	620329
chr1	76190393	76229364	607008
chr1	76251878	76260775	179080
chr1	76262566	76378927	602105
chr1	76384557	76398089	619936
chr1	76540430	77103024	610133
chr1	77333164	77533231	610134
chr1	77554673	77685115	605087
chr1	77747703	78025651	608009
chr1	78028100	78149083	619892
chr1	78161671	78225537	615146
chr1	78245333	78345225	616773
chr1	78347032	78355224	618370
chr1	78354308	78409580	613121
chr1	78409739	78444756	603444
chr1	78444858	78483648	611327
chr1	78510653	78604128	619089
chr1	78956658	79006386	600563
chr1	79086132	79111830	613975
chr1	79115473	79129763	610468
chr1	79355448	79472415	616419
chr1	81771816	82459616	607018
chr1	84330706	84464815	618813
chr1	84543761	84704181	176892
chr1	84764220	84816481	620800
chr1	84864166	84880701	608057
chr1	84964007	84972264	600874
chr1	85015293	85040123	600873
chr1	85109388	85156144	608690
chr1	85277284	85358889	605106
chr1	85391265	85462796	607399
chr1	85483764	85514183	607400
chr1	85528009	85598821	617968
chr1	85622571	85666699	620834
chr1	85731458	85742315	603517
chr1	85784167	86043883	604743
chr1	86046443	86049633	602369
chr1	86115099	86174116	620473
chr1	86194915	86622667	610025
chr1	86812519	86862006	620130
chr1	86889853	86922236	604003
chr1	86934609	86965942	603906
chr1	87012760	87046437	616857
chr1	87099958	87121059	604337
chr1	87170258	87213867	609287
chr1	87328127	87380260	606254
chr1	87380317	87575665	604844
chr1	87794562	87814606	603129
chr1	89149955	89301938	602549
chr1	89318315	89357250	189963
chr1	89386726	89458431	610656
chr1	89472362	89488549	600413
chr1	89518001	89530891	600411
chr1	89571814	89591797	600412
chr1	89597424	89641686	612468
chr1	89646826	89664625	612466
chr1	89721871	89738543	611467
chr1	89829617	89853719	612467
chr1	89990387	90063420	612888
chr1	90098678	90185092	612889
chr1	90286590	90402170	612890
chr1	90460668	90501092	614601
chr1	91177095	91182859	605212
chr1	91380860	91487592	614159
chr1	91726322	91870394	615684
chr1	91966407	91991321	603311
chr1	92145899	92371559	600742
chr1	92414927	92479985	602144
chr1	92495541	92529095	617401
chr1	92545901	92650280	617945
chr1	92683471	92711370	618968
chr1	92711958	92764544	601749
chr1	92764615	92867613	611476
chr1	92938599	92952482	600871
chr1	92974252	93257967	602942
chr1	93297542	93307481	603634
chr1	93298285	93427019	614542
chr1	93302845	93302940	603635
chr1	93544839	93604633	609882
chr1	93615298	93645970	616876
chr1	93646272	93744287	621137
chr1	93811463	93835050	601482
chr1	93913674	94020218	608848
chr1	94027347	94313707	604704
chr1	94331839	94344762	611199
chr1	94350754	94374986	601176
chr1	94458389	94586704	601691
chr1	94634460	94713302	610496
chr1	94883944	94984219	170995
chr1	94994728	95007315	134390
chr1	95285912	95360802	620328
chr1	95362512	95392666	602374
chr1	95439960	95538507	612866
chr1	95699710	95712781	615875
chr1	97187339	97289295	608449
chr1	97543298	98386590	612779
chr1	98511625	98511727	614304
chr1	99127276	99226056	614904
chr1	99355800	99470417	617287
chr1	99730047	99775140	607813
chr1	100111668	100160091	610182
chr1	100169525	100232191	611578
chr1	100315916	100389576	610860
chr1	100435551	100501190	605632
chr1	100503650	100548933	620347
chr1	100549125	100598486	609321
chr1	100614003	100643812	621503
chr1	100652474	100715390	248610
chr1	100731771	100758325	611286
chr1	100818061	100985833	603504
chr1	101003694	101007577	607468
chr1	101185297	101204601	192225
chr1	101337927	101360735	602411
chr1	101361645	101447313	611149
chr1	101455178	101491340	611075
chr1	101702454	101707869	601974
chr1	102268115	102462482	607567
chr1	103342028	103574078	120280
chr1	104068320	104097861	618016
chr1	104097265	104122156	104660
chr1	104160048	104168402	104650
chr1	104198140	104207173	104700
chr1	104230036	104239075	104701
chr1	104292275	104301314	104702
chr1	107599295	107601916	608274
chr1	107682709	108027545	608818
chr1	108113782	108507802	605541
chr1	108676664	108742965	608744
chr1	108765085	108786698	613994
chr1	108992964	109014542	613996
chr1	109190916	109204096	612178
chr1	109289295	109352145	608339
chr1	109358522	109400866	621318
chr1	109419606	109477167	609245
chr1	109472126	109506106	617539
chr1	109512835	109584724	615734
chr1	109606761	109618625	600774
chr1	109648572	109656453	618682
chr1	109656736	109749403	611298
chr1	109756514	109780804	607529
chr1	109792160	109818373	604265
chr1	109822177	109825767	613126
chr1	109834986	109849633	619807
chr1	109852196	109940540	602458
chr1	109941663	109969070	176844
chr1	110046799	110052349	615689
chr1	110082493	110089882	606916
chr1	110091236	110142817	139370
chr1	110141514	110141589	611189
chr1	110145712	110162238	139340
chr1	110162458	110174673	102771
chr1	110198720	110208119	138333
chr1	110210678	110226619	138380
chr1	110230438	110236367	138350
chr1	110254872	110260890	138385
chr1	110276558	110283660	138390
chr1	110292701	110306545	614989
chr1	110453470	110473614	120420
chr1	110527386	110566364	607826
chr1	110574198	110597263	617918
chr1	110602491	110613294	606014
chr1	110655064	110656569	611127
chr1	110693115	110744824	610299
chr1	110752935	110776666	176265
chr1	110881998	110889299	606077
chr1	110905478	110933648	603878
chr1	110943874	110950546	608521
chr1	110993770	110999980	606233
chr1	111059838	111061797	602420
chr1	111136201	111174062	176262
chr1	111196193	111216076	176263
chr1	111413831	111442544	151525
chr1	111489811	111506544	615354
chr1	111659784	111682715	613360
chr1	111682120	111727726	616751
chr1	111728590	111747200	615111
chr1	111770280	111786062	601526
chr1	111833472	111863185	606080
chr1	111889181	111895639	614234
chr1	111956940	111970357	603578
chr1	111982511	111991878	611734
chr1	111992085	112005395	603270
chr1	112025969	112106584	621207
chr1	112042050	112046255	600445
chr1	112084630	112259313	179520
chr1	112264685	112298419	620403
chr1	112298522	112310622	606168
chr1	112313283	112532290	605411
chr1	112938835	113003786	615100
chr1	113009162	113063910	601968
chr1	113066135	113161763	617640
chr1	113162453	113214238	601580
chr1	113217060	113243361	610742
chr1	113243752	113250030	165380
chr1	113252619	113257954	609957
chr1	113261526	113269857	617497
chr1	113454468	113498818	600682
chr1	113615819	113674882	608869
chr1	113933136	114228545	615943
chr1	114239452	114302510	604950
chr1	114304453	114355098	615858
chr1	114356432	114414334	600716
chr1	114419437	114430203	619660
chr1	114436815	114447650	607245
chr1	114447240	114456708	609683
chr1	114471945	114520491	608003
chr1	114522095	114524875	610088
chr1	114631913	114696491	607718
chr1	114935411	115053824	605769
chr1	115110177	115124236	605783
chr1	115215718	115238167	102770
chr1	115247089	115259392	164790
chr1	115259536	115300605	191510
chr1	115312099	115323306	611656
chr1	115397483	115537991	602162
chr1	115572446	115576923	188540
chr1	115590631	115632124	613133
chr1	115828537	115880870	162030
chr1	116184590	116240842	610132
chr1	116242641	116311335	114251
chr1	116378997	116383747	162361
chr1	116519133	116612675	608275
chr1	116915865	116947396	182310
chr1	116935486	116961244	618305
chr1	117057155	117113648	153420
chr1	117117019	117210377	603491
chr1	117297051	117311851	186990
chr1	117452537	117532975	601204
chr1	117544381	117579174	604516
chr1	117602947	117650075	604718
chr1	117653681	117664371	609318
chr1	117686208	117753549	608162
chr1	117910070	118071494	604345
chr1	118148669	118171011	613952
chr1	118406106	118472244	618128
chr1	118472361	118509166	604737
chr1	118496212	118727851	616554
chr1	119425669	119532133	604127
chr1	119573838	119683295	604733
chr1	119911407	119936753	605176
chr1	119957553	119965657	613890
chr1	120049825	120057681	109715
chr1	120161999	120190889	620981
chr1	120254556	120286838	606879
chr1	120290618	120311555	600234
chr1	120336639	120354083	609846
chr1	120376331	120387347	613997
chr1	120436155	120439138	604779
chr1	120454175	120612276	600275
chr1	120693459	120697156	604029
